"1","24001","GANESH PAPERS","33APGPS5044F1ZZ",,"45, NETHAJI ROAD",,"HOSUR","635109",,,NULL,NULL,NULL,NULL
"2","24002","MAHAVEER STATIONERY POINT","33AHSPK4190N1ZQ",,"34, CHUNNAMBUKARAR STREET",,"VELLORE",NULL,,,NULL,NULL,NULL,NULL
"3","24003","DHANALAKSHMI PAPER STORES","33ANHPK8006C1ZG",,"A.V. complex,  16,west car str",,"Chidambaram   ",NULL,,,NULL,NULL,NULL,NULL
"4","24004","S.P.NATESAN BOOK SHOP.","33AJTPP3810D1ZB",,"973, GOVAI ROAD",,"KARUR  ","639001",,,NULL,NULL,NULL,NULL
"5","24005","SUN PAPER STORES","33AACPR8096F1ZH",,"87 C , NEEULKKARA STREET",,"KANCHEEPURAM  ",NULL,,,NULL,NULL,NULL,NULL
"6",,,,,,,,NULL,,,NULL,"0",NULL,NULL
"7","24007","KUMAR PAPER STORES","33BYQPK2527M1ZI",,"82/2, NADU GUJILI STREET",,"TRICHY",NULL,,,NULL,NULL,NULL,NULL
"8","24008","MODERN CARDS&STATIONERY","33ABBPA2543G1ZF",,"76, AYEKULAM ROAD",,"KUMBAKONAM    ",NULL,,,NULL,NULL,NULL,NULL
"9","24009","M.P.M.MUTHU GENERAL STORE","33AAAFM8415D1ZQ",,"RAMALINGA NAGAR 1 ST GROSS","YOURS COLONY","TRICHY","620002",,,NULL,"0",NULL,NULL
"10","24011","KERALA PAPERS","32ABNPT7606F1ZI","32010805225-C","M.G. ROAD",,"TRIVA NDRUM   ",NULL,,,NULL,NULL,NULL,NULL
"11","24013","SENTHIL PAPER MART","33AVIPS3299JIZZ",,"NO;8 NELLIKUPPAM MAIN ROAD","SEMMANDALAM ","CUDDALORE",NULL,,,NULL,NULL,NULL,NULL
"12",,,,,,,,"632004",,,NULL,"0",NULL,NULL
"13","24015","B.SUNDARAM GENERAL STORES","33AJCPB2973N1Z7",,"29, BAZAAR VEETHI",,"SIRKALI",NULL,,,NULL,NULL,NULL,NULL
"14","24016","GUJINI INDUSTRIES","33AALFG9754E1Z7",,"42,BIG BAZAAR",,"MAYURAM",NULL,,,NULL,NULL,NULL,NULL
"15","24017","B.SRINIVASAN  FIRMS","33AAAFB4932A1Z9",,"652 722, JAWAHAR BAZAAR",,"KARUR","639001",,,NULL,NULL,NULL,NULL
"16","24019","MAHAVEER PAPER SUPPLIERS","33931860719",,"837' RAJA VEETHI\\",,"COIMBATORE    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"17","24018","HARI SREE PAPER TRADERS,","32AUGPK7623M1ZF",,"MAKS COMPLEX, OPP. PRIVATE BUS STAND",,"ATTINGAL","695701",,,NULL,"0",NULL,NULL
"18","24020","SRI BALAJI TRADERS","33BDHPM2517D1Z0",,"2 JANAKIRAMAN REDDY COLOLY 
VILLIVAKKAM",,"CHENNAI","600001",,,NULL,"0",NULL,NULL
"19","24021","RETHNA PAPER STORES","33BXQPM7092G1Z0",,"MAIN ROAD",,"MARTHANDAM    ",NULL,,,NULL,NULL,NULL,NULL
"20","24022","GANESH PAPERS","33486181104",,"30 MAIN ROAD",,"KALIAKAVILAI  ",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"21","24023","A. NANJAPPA & CO","33AADFA1381K1ZP",,"164, RAJA VEETHI",,"COIMBATORE ","641001",,,NULL,NULL,NULL,NULL
"22","24024","M.P.M.MUTHU GENERAL STORE","33263580461","33263580461","GODOWN NO;1&2 MOOVENDAR NAGAR","DEVADANAM'  ","TRICHY ","620002",NULL,NULL,NULL,NULL,NULL,NULL
"23","24025","SRI VASAVI PENHOUSE& STAT","33ADSPR3772M2ZQ",,"307 POLICE STATION ROAD",,"POLLACHI",NULL,,,NULL,NULL,NULL,NULL
"24","24026","SIMON & SONS","33AAEPE1760B1ZJ",,"179. PERIYAR STREET",,"ERODE","638001",,,NULL,NULL,NULL,NULL
"25","24027","DEEPAM NOTE BOOKS& STATIO","33AHEPM8845Q1ZM",,"76,77, ANNAJEE STREET",,"ERODE","638001",,,NULL,NULL,NULL,NULL
"26","24028","KRISHNA TRADERS & NOTE BO","33AJUPD4880A1ZC",,"MOHAN RAM PLAZA, 997, GOVAI ROAD",,"KARUR","639001",,,NULL,"0",NULL,NULL
"27","24029","PRICE LESS","32AIAPJ3208P1ZF","32020691207","CHINNAKADA, MAIN ROAD",,"KOLLAM-691001 PASSWORD FK",NULL,,,NULL,NULL,NULL,NULL
"28","24030","DHANA BOOK COMPANY","33ANUPS2095J1ZB",,"82/1036, BROUGH ROAD","NEAR PANNER SELVAM PARK  ","ERODE",NULL,,,NULL,NULL,NULL,NULL
"29","24031","VADAMALAI PAPER MART","33AWHPS0875L1Z2",,"8, KRISHNAGIRI MAIN ROAD",,"THIRUPATHUR {VELLORE DIST",NULL,,,NULL,NULL,NULL,NULL
"30","24032","V.MUNIRATHINAM &CO","33AEVPD2980B1ZN",,"151, CHUNNAMBUKARA STREET",,"VELLORE ","632004",,,NULL,NULL,NULL,NULL
"31","24025","MATHANGI BOOK CENTRE",,,"52 RAJA STREET",,"TIRUNELVELI   ",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"32","24034","REGAL PRESS","33AEOPR1838K2Z1",,"MAIN ROAD"," ","MONDAYMARKET",NULL,,,NULL,"0",NULL,NULL
"33","24035","SRI VASAVI GENERAL STORES","33AFNPJ1922LIZE",,"93 ANNAIKATTI STREET",,"TIRUVANNAMALAI",NULL,,,NULL,NULL,NULL,NULL
"34","24036","RAVI PAPER MART","3348358140",,"43,ALIMAL STREET",,"TRICHY",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35","24037","SUDHA BOOK NILAYAM","3334682876",,"51/4 AMIRTHARAJ BAZAAR","BAGARSHA STREET","VILLUPURAM",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36","24039","SREE JEYANTH STATIONERY","32AASFS8914R1Z7","32010839054-C","M.G.ROAD, OPP; AYURVEDA COLLEG",,"TRIVANDRUM  (KERALA)",NULL,,,NULL,NULL,NULL,NULL
"37","24038","BHARATH NOTE BOOK","33941901502",,"954 RAJA STREET",,"COIMBATORE    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"38","24040","SRI RAGHAVENDRA STORES","33AEBFS2696M1ZL",,"87,ismail veethi,five corner",,"COIMBATORE    ",NULL,,,NULL,"0",NULL,NULL
"39","24041","D.S PAPER DEALERS","32020748425","32020748425-C","HOSPITAL ROAD",,"KOTTIYAM-  691571  DSP*23",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"40","24042","SRI MAHALAKSHMI BOOK HOUS","33ACGPV8834K2ZZ",,"C.W.9,NEW BUS STAND,(opp) Hote",,"ERODE","638003",,,NULL,NULL,NULL,NULL
"41","24043","N.T.C.MARKETING AGENCEY","33AAAFN4736E1ZN",,"212 NETHAJI ROAD",,"CUDDALORE",NULL,,,NULL,NULL,NULL,NULL
"42","24044","CITY BOOK CENTRE","33ACCPR2654R1Z4",,"473 RAJA STREET",,"COIMBATORE    ",NULL,,,NULL,NULL,NULL,NULL
"43","24045","MATHA PAPERS","32020875224",,"MILL ROAD VADAYATUKOTTA",,"KOLLAM","691001",,,NULL,"0",NULL,NULL
"44","24046","SRI LAKSHMI PAPER STORES","33AIYPB8567D1ZY",,"2 POLICE STATION ROAD",,"POLLACHI",NULL,,,NULL,NULL,NULL,NULL
"45","24047","KASTHURI GENERL STORES","33652240628",,"3 POLICE STATION ROAD",,"POLLACHI",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"46","24048","CUDDALORE STORES","33CPSPK9605N1Z5",,"23 CHINNAVANIYAR STREET",,"CUDDALORE",NULL,,,NULL,NULL,NULL,NULL
"47","24049","MOORTHY BOOK SHOP","33ACMPJ0451A1ZA",,"BAZAAR STREET",,"POLLACHI",NULL,,,NULL,NULL,NULL,NULL
"48","24050","MAHESWARI BOOK CENTRE","33ABSPA9431GIZP",,"8 NORTH CAR STREET",,"TENKASI",NULL,,,NULL,NULL,NULL,NULL
"49","24051","BHARANI DEEPAM NOTE BOOK ","33072882796",,"283 NETHAJI ROAD",,"ERODE",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"50","24052","PRAKASH GENERAL STORES","33AFMPP2290N1ZY",,"614 OPPANAKARA STREET","COIMBATORE","COIMBATORE",NULL,,,NULL,NULL,NULL,NULL
"51","24053","B.S.L. & CO","33AASPR2623L1ZB",,"BANGALORE ROAD",,"KRISHNAGIRI   ",NULL,,,NULL,NULL,NULL,NULL
"52","24054","MADRAS PAPER AGENCIES","34AHHPM5470E1ZF",,"191 M.G. ROAD",,"PONDICHERRY   ",NULL,,,NULL,NULL,NULL,NULL
"53","24055","MADRAS PAPER MART","34AAAPH4365H1ZZ",,"193 M,G,ROAD",,"PONDICHERRY   ",NULL,,,NULL,NULL,NULL,NULL
"54","24056","BHARATHI PAPER STORES","33AAIBA0529N1ZX",,"86, SANNATHI STREET",,"TIRUVANNAMALAI",NULL,,,NULL,NULL,NULL,NULL
